philosophes_ingi.csv
nbr_threads,run_1,run_2,run_3,run_4,run_5
1,0.00,0.00,0.00,0.00,0.00
2,0.07,0.07,0.08,0.08,0.09
4,0.23,0.23,0.28,0.28,0.24
8,0.38,0.35,0.34,0.36,0.34
16,0.47,0.46,0.45,0.51,0.51
32,0.76,0.76,0.82,0.79,0.84
64,1.51,1.52,1.49,1.54,1.48

producer_consumer_ingi.csv
nbr_threads,run_1,run_2,run_3,run_4,run_5
1,0.56,0.57,0.55,0.45,0.48
2,0.29,0.29,0.30,0.30,0.29
4,0.14,0.14,0.15,0.14,0.14
8,0.08,0.09,0.08,0.08,0.12
16,0.07,0.06,0.06,0.06,0.05
32,0.07,0.06,0.06,0.06,0.06
64,0.07,0.09,0.08,0.07,0.08
