philosophes_ingi.csv
nbr_threads,run_1,run_2,run_3,run_4,run_5
1,0.00,0.00,0.00,0.00,0.00
2,0.07,0.07,0.08,0.08,0.07
4,0.25,0.25,0.25,0.24,0.22
8,0.32,0.28,0.29,0.33,0.35
16,0.43,0.47,0.48,0.48,0.44
32,0.82,0.85,0.73,0.82,0.87
64,1.47,1.46,1.51,1.51,1.53

producer_consumer_ingi.csv
nbr_threads,run_1,run_2,run_3,run_4,run_5
1,0.54,0.55,0.56,0.56,0.51
2,0.29,0.29,0.28,0.28,0.29
4,0.16,0.15,0.15,0.15,0.14
8,0.09,0.08,0.09,0.08,0.10
16,0.06,0.06,0.06,0.05,0.06
32,0.07,0.06,0.06,0.06,0.06
64,0.07,0.07,0.07,0.07,0.08

reader_writer_ingi.csv
nbr_threads,run_1,run_2,run_3,run_4,run_5
1,0.17,0.17,0.17,0.17,0.17
2,0.08,0.08,0.08,0.09,0.08
4,0.04,0.04,0.04,0.04,0.04
8,0.02,0.02,0.03,0.02,0.02
16,0.01,0.02,0.01,0.01,0.02
32,0.01,0.02,0.01,0.02,0.01
64,0.02,0.02,0.02,0.02,0.02

test_and_set_ingi.csv
nbr_threads,run_1,run_2,run_3,run_4,run_5
1,0.41,0.31,0.17,0.31,0.41
2,0.30,0.30,0.37,0.30,0.30
4,0.36,0.31,0.37,0.37,0.40
8,0.37,0.31,0.35,0.36,0.36
16,0.37,0.35,0.27,0.36,0.35
32,0.28,0.25,0.30,0.35,0.32
64,0.43,0.31,0.44,0.39,0.34

test_and_test_and_set_ingi.csv
nbr_threads,run_1,run_2,run_3,run_4,run_5
1,0.17,0.32,0.42,0.32,0.17
2,0.42,0.35,0.30,0.40,0.30
4,0.41,0.36,0.39,0.36,0.36
8,0.31,0.37,0.33,0.35,0.34
16,0.43,0.35,0.38,0.31,0.34
32,0.35,0.36,0.39,0.29,0.31
64,0.41,0.23,0.22,0.22,0.25
