test_and_set.csv
nbr_threads,run_1,run_2,run_3,run_4,run_5
1,0.36,0.42,0.33,0.42,0.32
2,0.30,0.36,0.26,0.35,0.38
4,0.40,0.37,0.37,0.37,0.36
8,0.36,0.37,0.34,0.33,0.36
16,0.40,0.35,0.28,0.36,0.32
32,0.26,0.29,0.28,0.30,0.32
64,0.36,0.32,0.39,0.33,0.32

test_and_test_and_set.csv
nbr_threads,run_1,run_2,run_3,run_4,run_5
1,0.17,0.17,0.35,0.17,0.17
2,0.42,0.40,0.42,0.42,0.42
4,0.36,0.35,0.42,0.42,0.42
8,0.42,0.42,0.37,0.34,0.34
16,0.37,0.34,0.30,0.39,0.33
32,0.34,0.37,0.26,0.35,0.34
64,0.26,0.34,0.28,0.27,0.25
